Respondent_ID,open_ended_1,open_ended_2,open_ended_3,open_ended_4,open_ended_5,E_Scale_score,A_Scale_score,O_Scale_score,C_Scale_score,N_Scale_score,Dataset
10459709534,"I would reconsider my plans, and see if they were more flexible than my co-worker's. If they weren't, then I would talk to my co-worker to see what their plans were, and if it was a scheduling issue, or their stubborn self not wanted to switch weeks. Most likely though, as I'm very good at planning, I would most likely relinquish the week, as I wouldn't plan my vacation until I received the go-ahead from my boss.","I would finish my project as soon as possible. Then I would get started on the other work until it was finished. After submitting it to my boss, I would fine-tooth-comb my project before the due date.","I would not want to go to the meeting anyways. So, I would breathe easy knowing I wouldn't be hassled into going by my friend. I would see no point in going.","I would immediately go to discuss it with my manager. If we didn't see eye to eye, and his/her explanation didn't satisfy me, and I was still 100% certain that I wasn't in the wrong, I'd go over their head. I would then bring my issue up to the higher-ups, and seek a good resolution there.","I would probably find it boring. Norway doesn't sound that interesting, honestly, and I would probably have other work to do. I guess it wouldn't be bad, but I wouldn't be excited at all about it.",3.75,4.4166666667,5.0,5.0,1.0,Train
10440097952,"I would change my vacation if I hadn't put any money down that I would lose. It would be annoying that my coworker was not budging, but I don't think it is that big of a deal. It would also make me look like I am willing to work for the betterment of the company.","I would work on it immediately and get it over with. I wouldn't want to be struggle to meet deadlines if some other work came in. I think my boss would think highly of me to have worked on it now, so that I would have the time to tackle the later projects without rushing and risking making a mistake. I think working on it early would show I was organized and efficient.",I would try to convince my colleague to go with me. I would explain it could be good for business and our jobs. I would also talk about it being fun if we do it together.,"I would be upset and would want to make sure I really understood the situation. I might not agree, because I don't fully understand everything. I would have a long conversation with my manager so that I could prevent doing this again in the future. I would hope my boss would see I cared and was open to discussion and wouldn't hold it against me, but would realize that I am trying to do a better job.",I would enjoy it. I like to learn about other countries cultures. I would be eager to communicate with an overseas partner so I could learn more about them. I would also secretly hope I would have an excuse to visit them so I could travel. I think it would be enjoyable.,4.8333333333,4.9166666667,5.0,5.0,2.1666666667,Train
10446123387,"I would feel that whoever had scheduled it first should be entitled to it. The situation described does not indicate who requested the vacation first. Assuming that I requested it second I suppose I would have to go along with not being able to take the vacation week. By the same note if they requested it after me I believe they should have to work it. I understand that they are not willing to change in the situation, but I just do not see a reason for me to cave into that should I have put in for the vacation first.",I would go ahead and get the project as completed as possible. Given that the boss tends to give me last tasks that can take a while it could put me in a bad situation if I were to put off my current project. The sooner I finish the initial project the better prepared I will be for any unforeseen situations coming from extra tasks.,I would be fine whether or not they went. Though I would probably try and convince them to. It seems to me it would be a good chance to do some networking. In my experience social networking has done a lot for me personally and can be a valuable asset.,"I would feel that it is a bit unfair given the situation. I would probably try and present information to the contrary that proves otherwise. I obviously would not want this to effect me negatively, so I would do what I could to change that feedback if at all possible.",I would find this experience enjoyable. I have never been to Norway nor do I know much information about it. Interacting with people abroad can prove to be an interesting experience. I may well learn something valuable from this.,3.75,3.75,3.5833333333,4.0,2.0,Train
10459957620,I would change my vacation plans.  I would be positive.  I would hope for the best.,I would try to finish the project.  I would want it done.  Then I wouldn't have to worry about other tasks.,I would beg my colleague to go. I would try to get that person to go.  If not I would go and make the best of it.,I would explain my side of the situation.  I would not want to lose a bonus.  I would tell my manager and hope for the best.,I would find it boring.  I would rather do something else.  Learning is no fun without travel.,3.3333333333,4.0833333333,3.9166666667,4.0833333333,1.75,Train
10440100847,i would go ahead and change my vacation plans. i would choose another date for my vacation. it would look good to my employer if i do this.  i also would be securing my job in this manner also.,i would work on the project right away. as my employer can give me extra duties at any time working on the project now guarantees completion. if my employer gives me other duties i will have the time yo meet them. if my employer does not give me extra duties i can take some relaxation time.,"i would go. even if i will not know anyone there, it is the right thing to do employment-wise. this also helps secure my job.","i am not happy about the situation. i would bring this up with my manager, stating what i feel is correct and what is incorrect. in this way i would not lose any bonuses and such. it also would help protect my job.","i would find it very enjoyable. i would be learning of a new culture, i would be learning of a new country. i may also be meeting people from a new country as well.",2.8333333333,4.1666666667,3.3333333333,3.8333333333,2.25,Train
10459853353,"I would probably agree to go at a different time. I am an ""empty nester"" at this point, so I don't have to worry about kids, etc. So, my vacation plans are variable.","Knowing my boss might add last-minute tasks, I would make my own deadline for the project a few days earlier. That way, I build in time to allow for extra projects that might come up.","I would go anyway. If my colleague doesn't go, it means I will be forced to make new acquaintances that might be beneficial for my job. Never miss an opportunity to network!","I would give myself a couple of days to think about the feedback, so that I can distance myself from the emotion of the negative feedback. Then, if I still don't agree with the manager, I would ask for a private meeting to discuss it, providing evidence for why I think it is wrong. I also would be careful to document everything.","I think it would interesting to learn a few things about Norway and its culture. And while I would not necessarily need to travel, perhaps there is the potential of visiting Norway at the company's expense. Plus, it's an opportunity that could lead to something better.",3.3333333333,3.9166666667,4.3333333333,4.5833333333,1.1666666667,Train
10460000765,"Assuming I can't change my plans either, I would probably talk to the supervisor about things. I don't think it's fair that the coworker should be able to essentially bully me into trying to not take my vacation week. However, if I can easily change my plans, I probably wouldn't push it because I would rather not deal with the conflict.","I would do as much as I could to work on the project while my workload is light. That way, if I finish early, great! But if the boss gives me tasks here and there, I can fit them in. If I somehow don't finish on time, I would just tell my boss that I did my best, but I couldn't get it done on time with the additional workload.","I would go anyway. It would make me look good for being there when other colleagues are not, and it could pay off in the future. Also, part of the point of networking is to step out of your comfort zone and meet new people.","I would accept the feedback, but also try to ask how to improve. If the manager's suggestions are things I'm already doing (which they probably are, if I don't believe it's true), then I can point that out without seeming like too much of a kiss-up. I would feel bummed, but the possible consequences would motivate me to handle the situation as professionally as possible.","I would find this experience really enjoyable! I love learning about other cultures and ways of life, and do so in my free time. So getting paid to work with it would be awesome, and probably a nice change of pace.",3.1666666667,4.0,3.6666666667,3.9166666667,2.75,Train
10440100191,"I would approach my colleague, find out his plans, compare them to mine and see which ones could be more easily adapted. If I am planning on actually going somewhere and have made the arrangements and bought the tickets, or paid for the hotels, I wouldn't be able to switch so easily. I might even hve to have a discussion with my supervisor and let him know when I applied for the time in relation to my coworker and the plans I have made.",Since my workload is light at the moment I would start on it immediately. I might even take sometime when I am at home to get a general outline of what I am supposed to be doing each day. If my boss does approach me I would let him know of the approaching deadline and how much work I have left.,I would try to convince my coworker towards going. I would let him know that part of our work related duties is to network and to attend meetings even while tired. I would give him the benefits of going versus not.,"I might approach my manager and ask if we could set aside some time for a meeting between the two of us to discuss the feedback. During that time, I would give him my viewpoints and ask for his. This way we can have an open honest discussion and hopefully come to an agreement.","I would probably enjoy it, although I am not positive. I do not know much about Norway but then again that might be one of the perks, that I have to learn more about it. It might look good in the eyes of my company to take on the added responsibility so that may weigh my decision as well.",2.8333333333,4.3333333333,2.1666666667,4.6666666667,2.4166666667,Train
10446111060,"I would make the argument to my supervisor about why my vacation can't be changed, if applicable. I would then ask the supervisor to handle the situation and choose who gets to take vacation. It's the role of the supervisor to make this decision, not of the two employees to work it out.","I would try to get as much of the project done ahead of schedule to leave room for unexpected last minute tasks. If my boss did then give me a last minute task and I didn't have time to do everything, I'd ask for guidance on how to prioritize. I might work extra hours to get everything done.","I would go. It's important to have face time with important clients, and if I don't go, no one will. I'm also pretty comfortable in situations where I don't know people, so this wouldn't be a burden on me.","First, I would reflect on the situation to see if there's any truth to the feedback. I would then gather any evidence I had to dispute the feedback, such as metrics and positive emails from colleagues, and ask to meet with my supervisor. I'd lay out my case for why the feedback may be untrue and suggest ways I can improve in that area as well.","I would find this experience enjoyable. I like learning about other cultures. Also this opportunity seems like it could be an opportunity for travel, which I enjoy.",3.6666666667,3.9166666667,3.3333333333,3.9166666667,2.0833333333,Train
10459742010,"I would ask my wife if she had already planned a trip or purchased something for that week. I would be willing to be flexible unless the trip was related to her chemotherapy, in which case I would take the time of as medical leave.","I would set daily and weekly goals for how much I needed to complete to finish the project on time with no last minute rush. I would also allow extra time for other projects that might be assigned during the two week period. if possible, I would finish the main project early.","I would not go to the meeting. I would go home and spend time with family. any required meetings need to be during work hours or scheduled very far in advance. if my employer had a problem with me putting family first, I would start looking for anther job and immediately give notice that I am leaving that company.","I would talk to my manager privately to clarify the situation and what my expectations and contributions have been. if the disagreement could not be resolved, I would accept what my manager says but document everything I did very well in case I need proof in the future. if this sort of event was habitual, I would start looking for  a different position with another manager","as long as the project did not involve strange hours, I would volunteer. I would enjoy learning the language, up to a point, and interacting with the people from Norway as long as I did not have to adjust to their time zone. I would not want to travel, although I am sure norway is beautiful",2.3333333333,3.4166666667,2.8333333333,4.1666666667,2.25,Train
10440104439,"I would first find out who requested vacation first.  I believe whomever put in their request first should have priority.  If the requests were put in at exactly the same time, I would talk to my colleague to see if we could determine who would have the bigger burden (ie greater cost, others have schedule vacation times to coordinate).  If we could not reach an agreement based on that, I would find an unbiased third party to review the facts and make a decision as to who should have to defer.",I would start on my project right away knowing my manager may throw something else at me.  My focus while my workload was light would be to complete this project.  Then I'll have some buffer time if needed.  I think that will allow me to be successful.,"I would not want to go, but I would.  Attending is respectful to this client, and not attending is disrespectful.  I would try to get my colleague to go with me.  If I couldn't, I'd go by myself.  There are likely to be other people there who don't know many others.  It's a great opportunity to network and to show the client they are important to me and my company.","I would be very concerned.  I would step back and really think about what my manager said and why they had drawn that conclusion.  Once I had calmed down, I would meet with my manager again to discuss it further.  If it is true, I want to remedy it moving forward.  If it's not, I want a chance to share my thoughts on the situation.",I would find this an enjoyable experience.  I have never been to Norway nor do I know a lot about the country or its customs.  It would be fun to learn more and a once in a lifetime opportunity to travel there all expenses paid.  I would look forward to this.,3.9166666667,4.5,3.8333333333,4.9166666667,1.8333333333,Train
10462886492,I would likely choose another date and tell my colleague that the next vacation selection is mine. I would let them have this date and then I would ask for the Christmas Holiday week between Christmas and New Years off. There are many important and desirable dates for vacation so unless I had some very important function I needed to do at the specific time I originally requested I would change and have first dibs on the next selection.,I would get the project done as soon as possible so that i was prepared for the additional work my boss may assign me. I may even work late a time or two to be finished ahead of time. Because my past experience is that I am assigned more work last minute I would work to be prepared.,I would go to the network meeting. I cant use my colleague as a crutch. Its time I branch out and make new connections. I can talk to all kinds of people and this would be a good opportunity to network and become known for my talents aside from my colleague.,I would be upset and frustrated. I would take some time to review the feedback and think about what was said ans how they could perceive my work in that manner. then I would approach my boss and ask for time to discuss the issues. I would present my information about why I think my work was more positive than he rated. I would offer documentation or backup as to why and then also acknowledge where iIcould have done better. It could be my boss didnt get the full scope of my work and isnt truly aware of everything i have done well.,I would enjoy this experience and would gladly learn all I can about Norway. I would even go so far as to learn some of the most common phrases and how to properly acknowledge people. I think it would be a great experience to learn about this different culture.,4.25,4.3333333333,4.75,4.8333333333,1.5,Train
10460361372,"I would speak with the coworker to see why he was unwilling to change his plans. If it was for a legitimate reason, such as tickets he could not change or get a refund for, I would examine my own travel plans and see if there was any room to change them. From there, I would make my decision.","I would try to get it done as soon as possible. Expecting a last minute task, I would hope to get as much done as possible on the project. That way, I would put myself in a good position to finish the project on time.",I would still attend. I would expect that a few other people there would not know anyone prior. A networking meeting is usually with people who don´t know each other.,"I would obviously feel agitated. I would arrange a time to speak with the manager as soon as possible. Hopefully then, we could sort out what the issue was.",I would absolutely find this enjoyable. I would volunteer to do so. I would also hope that some travel would be involved.,4.4166666667,4.5,4.5833333333,4.5833333333,1.0,Train
10440109763,"I would first talk to the colleague and ask them why I should be expected to change my vacation plans if they are unwilling to. I wouldn't back down, but if they were not willing to agree, I'd explain the situation to the manager and let him decide. I believe whoever requested vacation for that week first should be the one who gets it. The question seems to make it sound like I asked for it first, but either way, I would find that decision to be the fair one.","I would start working on the project early. if I'm already at work, I prefer to be as productive as possible. It actually makes the time go by quicker than just sitting around. Because it's possible my boss would give me last-minute tasks, I need to be prepared for that possible, so I shouldn't procrastinate on this important project.","I wouldn't go either. First of all, I guess I'm not a highly ambitious career-oriented person, even though earning opportunities for success is always a good thing. But I think I'd be anxious, nervous, and stressed out if I didn't know anyone at the meeting. This might cause me to make a bad impression, which would do more harm than good.","I would feel very upset and wronged, and it'd make me lose some respect for my manager. I'd approach my manager and ask if there was a time we could speak privately about the feedback. I would try to calmly explain my perspective as to why I believed the feedback to be untrue, making sure to be respectful. Then I'd just have to hope he saw where I was coming from and we came to some kind of understanding.","I would find the experience relatively enjoyable and interesting. I like learning about new things, and Norway and that whole area of Europe is actually a place I'm curious about because I think in a lot of ways those countries are better than the U.S. (higher standard of living, less violence). I'd be very willing to volunteer for the project.",1.75,3.6666666667,3.3333333333,4.0,3.5833333333,Train
10446109868,"It depends on if I have already purchased tickets. If not, then I would change my vacation dates. If I had already purchased them, I would explain that and explain that I value time with my family, especially since my kids are in school and I do not like to take them out of school for vacation. If no resolution can be come by, I would threaten to quit.",I would make a time frame and work on the project each day until it is finished. I would prefer to finish early since my boss may give me another project that I may need to work on quickly. I dislike having half assed work.,"I would still go. I don't need to know someone to have a good time. Also, meeting new contacts and maintaining a positive relationship with a client is more important.","I would explain my point of view. However, if it is something I could change, I would change it to whatever my boss preferred. I would feel upset and possibly report to my manager's boss depending on the situation and how familiar I am with the boss.","I am an anthropologist. Learning about other cultures is part of what I do, It would be boring since I wouldn't be traveling to Norway. That would be disappointing.",4.25,5.0,4.4166666667,4.0,1.6666666667,Train
10440106632,"I would be very upset, and explain to the co-worker that this kind of issue can't happen again. I would then take to my manager about changing the policy going forward. I would plead my case that I rarely take time off, and when I finally do, I can't get the week off because my co-worker requested it. I don't believe this to be fair.","I would get the project done as soon as possible. Worst case scenario, the boss gives me more work and I'm able to tackle it with no problem. Best case, it gives me time to go back and tweak the project before the due date.","I would still go. I personally never like to miss out on chances to network, and you never know what kind of opportunities may present themselves at the meeting. At the very least, I'll be able to tell others that I attended the meeting, and it will make me look good.","I would be really upset in this scenario. I would ask he manager for a breakdown of exact instances where my performance was under par, and would address each one of them directly. I would also provide my own facts/evidence to back up my case as a good worker (awards, contributions to the company, etc.). I would certainly not take the negative feedback laying down.","I would personally find it boring, because there's not really a payoff for me. If I was going to take the time to learn the culture, I would want to travel and experience Norway. I wouldn't want to invest the time in learning about the country, without really gaining anything in return. I would pass on this opportunity.",3.25,3.4166666667,4.0833333333,3.75,3.5,Train
10446110355,I would probably let them take the vacation time if it wasn't anything I could reschedule. I would also let them know that they owe me. I don't think I would particularly be mad or upset as I am a flexible person.,I would try to plan out how to execute my task. I would go over any information given to me. I then would take notes on what I need to do. I think this would work so I could lessen the stress on me.,I would probably try to convince them to go by letting them know I would do a favor for them. If they just really declined I would probably go by myself. I wouldn't like to miss out on my clients meeting.,I would probably feel upset. I would try my best to not say anything to lose my bonus. If I did feel the need to say something I would say it very calmly.,I would probably find this experience enjoyable. I like to learn about other cultures. I would also take this as an opportunity to get to know my client better.,2.3333333333,4.6666666667,4.0,4.25,1.9166666667,Train
10459671326,"i would consider changing my vacation week to some other dates. i would try to find out why my colleague is unwilling to change his dates. if there is good enough reason, better than mine, then i will make the sacrifice.","I would go ahead and finish the project as son as possible, even if i will have time remaining in my hands, i would rather get the project out of the way because the supervisor may come up with something. besides, i would have more time to make sure everything is in order.","i would try to convince my colleague to come along. it may work well even for the colleague, for the networks will benefit both of us. i would try to make the colleague see how miserable i will be all alone.","I would act like it is no big deal, and forget about it. instead i would try to do a lot better, and have everyone who is important and accessible to notice my efforts. in that way, it will be obvious that the manager's assessment was in correct.","I would definitely find it enjoyable, it is always fascinating to learn about new cultures, and see how others are different in a good way. it is also expanding my territories, who knows? i might need to travel to Norway in my next job.",3.0833333333,4.25,4.25,4.9166666667,2.3333333333,Train
10441702436,Well obviously in this case my colleague has made arrangements.  I would take mine as soon as they came back.  Why act like a douchebag?,I would let my boss know about the time it is taking to complete my project.  I would ask my boss if there was anything I could do they needed done now in case my project took all of my attention.  I would then proceed to carry on with my business.,I would probably ask for a replacement for my colleague.  I highly believe in utilizing the buddy system.  Going alone would be risky.,Well I would talk to my boss and let them know that this feedback is false.  If they didn't let up I would go to human resources.  If that doesn't work I would call the news channel.  I would feel pisaed because they believed it.,I would find this enjoyable since I would learn Norwegian culture in return.  Whether in person or not I would be open to learning a little of their language and teach them mine.      Volunteering at work that's fun!,3.5833333333,4.1666666667,4.0833333333,5.0,1.5,Train
10440096954,I would not change my plans either. I would make the boss decide which one of us were to go on vacation. If they aren't willing to talk and work something out with me then why should I go out of my own way?,I would go ahead and get started on it. I'm not a big procrastinator. I would go ahead and work on it as much as I can. I'd even try to finish it early in case my boss decided to throw me a curve ball at the last minute.,"I would probably not go. I don't like meeting new people and I'm so uncomfortable at parties. If the only person I knew wasn't going to be going, chances are I would bail myself.",I would sit down and have a conversation with my boss. I would tell them I don't agree with their evaluation and that it's going to significantly impact my compensation. I'd ask if we could sit down and talk about why they thought that way and see if we could come to some sort of understanding where I can grasp what I was doing wrong and maybe it wouldn't impact my job so hard.,I would probably not be very into this project. I like more traditional and mechanical type tasks. I usually don't go too far outside of my box with cultures and trying to navigate foreign relations.,1.6666666667,4.3333333333,1.3333333333,5.0,2.3333333333,Train
10459784521,"I would let my collegue have the time if they were a close personal friend, and maybe just a colleague.  If it was really a terrible loss for me to not take that time, if I lost money, or it would hurt my family, I might stand my ground, but people remember these slights, I would not forget that they would not give in.","I would try to get the work done ahead of time.  I would want to be prepared for the last minute tasks.  I would look over the project see what it required sketch it out first do the items I knew would take more time first, then the items I knew I can do quickly I could hold back on a little.  I would leave the overall put togeather until the end and balance it with the last minute tasks.","I would go, if it is the largest client it seems pretty mandatory to go to this.  The client, your boss will all remember this, if you do not go.  Your colleague, has their own issues, if you don't want to advance then don't go, if you want to move up then go.  But it is also bad manners to snub your best client.  Manners do matter.","I would ask what were the exact issues that are involved.  I would try to counteract what I feel was inncorrect, take the advice, ask how I can do better and show it in my behavior, and attitude.","I would love to do this project.  Learning about other cultures and getting involved with the culture is very interesting to me.  I am a history degree and I love learning all the aspects of a culture, art, history, food, economy and how they feel about the world.  It would not be work for me to get involved with this project.",2.6666666667,4.0833333333,4.6666666667,3.9166666667,3.3333333333,Train
10462865647,"I would first talk to my colleague to see what they have going on during that week.  I would do this to see if either of us has something that can be cancelled.  We both need to be reasonable. If nothing can be agreed upon, I would agree to let them go ahead and use that week, as I do not like disagreements.",I would go ahead and start to work on the project.  I don't like last minute things that need to be done.  I also don't like to complete things in a hurry because I would have less of a chance to check for mistakes.  It is best that when the workload is light to go ahead and work on some of a person up and coming work and leave some leeway for extra things that may come up.,"I would go ahead and attend the meeting. They are one of our largest clients, so I need to be there.  It does not matter that I don't know anyone there, the client comes first and foremost. I would go and put on my best social skills get to know my clients as well as others better.  It will be good for the company.","I would go over the feedback that is given to me by my manager.  I would analyze what is said and those things that I don't feel to be true, I would prepare a presentation to show different.  It would make me feel terrible especially since the feedback does not seem to carry any weight as to anything that I see that I have done wrong.",I would find that the experience would be enjoyable.  It would give me a chance to do research on a new culture.  This project would also give me a chance to maybe get end on some high end deals and give me more exposure in a positive light by showing initiative.,3.8333333333,4.1666666667,3.5,4.8333333333,2.6666666667,Train
10459662670,"If I had already scheduled and booked my vacation, I would stand firm. I requested the week first. My request should be the one honored.","I would start working on the project immediately. If my boss had a habit of assigning significant tasks last minute, I would  want to be done with my project early. I would aim to have the project complete at least 3 days early.",I would go to the meeting. You should take advantage of meetings that could be great opportunities. You might regret it if you don't.,I would be very upset. I would try to get my manager to lay out facts that showed the feedback was justified. I would try to stay calm while we discussed the issues.,I would find it enjoyable. I don't know if I would volunteer if I couldn't travel to the country. It makes the extra work more worth while.,3.4166666667,4.0,2.75,4.3333333333,2.75,Train
10459678584,I would change my vacation plans. It wouldn't really make a difference if I changed them. This college is my friend!,I would get it done ahead of time. If my boss gave me work that required more time it wouldn't matter. I would already have it done.,I would go anyway. I like meeting new people. It would be a challenging experience.,I would talk to my boss about it. I would ask for proof. I would pray about it!,I would find it interesting. I know nothing about Norway. It would be good to learn about Norway and it's culture.,4.6666666667,5.0,4.9166666667,5.0,1.0,Train
